시험고유번호,시험명,과목,대단원,중단원,정답,배점,표준반응시간(초),표준총응시시간(초),생성일,과정번호,분류코드
53,수학(상)_02이차방정식_테스트_002,수학(상),,,"['13', '9', '3', '1', '25']","[16, 25, 25, 25, 9]","[60, 90, 90, 90, 30]",360.0,2023/03/08,0,
54,고등선행_02다항식의 인수분해_테스트_001,고등선행,,,"['1', '32', '5', '101', '4']","[19, 14, 19, 28, 20]","[60, 45, 60, 90, 60]",315.0,2023/03/11,0,
55,수학(상)_03이차방정식과 이차함수_테스트_003,수학(상),,,"['1', '5', '8', '3', '3']","[15, 15, 15, 23, 32]","[60, 60, 60, 90, 120]",390.0,2023/03/11,0,
56,수학2_함수의 극한과 연속_002,수학2,함수의 극한과 연속,,"['5', '3', '1', '3', '1']","[21, 21, 14, 28, 16]","[90, 90, 60, 120, 60]",420.0,2023/03/11,0,
57,수학1_04지수함수와 로그함수_테스트_000,수학1,,,"['4', '4', '2', '1', '1']","[28, 14, 21, 17, 20]","[120, 60, 90, 75, 75]",420.0,2023/03/11,0,
58,수학2_01미분계수와 도함수_테스트_003,수학2,,,"['11', '4', '21', '10055', '4']","[19, 19, 14, 14, 34]","[60, 60, 45, 45, 100]",310.0,2023/03/11,0,
9,고등선행_03이차방정식_테스트_000,고등선행,,,"['3', '5', '12', '6', '3']","[19, 6, 29, 19, 27]","[60, 20, 90, 60, 76]",306.0,2023/03/14,0,
59,수학(상)_01평면좌표_테스트_000,수학(상),,,"['3', '1', '1', '5', '18']","[13, 20, 22, 22, 23]","[60, 90, 100, 100, 100]",450.0,2023/03/15,0,
83,수학2_함수의 극한과 연속_이준서_001,,,,"[1, 4, 2, 3, 1]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
84,수학2_함수의 극한과 연속_이준서_002,,,,"[2, 1, 1, 4, 7]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
85,수학2_함수의 극한과 연속_배채은_001,,,,"[3, -1, 3, 1, 3]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
86,수학2_함수의 극한과 연속_배채은_002,,,,"[3, 3, 3, 2, 5]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
87,수학(상)_여러 가지 부등식_전효린_001,,,,"[1, 1, 1, 65, 5]","[11, 11, 11, 33, 34]","[60, 60, 60, 180, 180]",540.0,2023/03/18,0,
88,수학(상)_여러 가지 부등식_전효린_002,,,,"[4, 3, -5, 2, 3]","[11, 11, 11, 33, 34]","[60, 60, 60, 180, 180]",540.0,2023/03/18,0,
89,고등선행_중3-1_김현영_001,,,,"[4, 2, 21, 4, 2]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
90,고등선행_중3-1_김현영_002,,,,"[1, 4, 3, 2, 4]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
91,수학1_지수로그_임고근_001,,,,"[1, 5, 2, 1, 5]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
92,수학1_지수로그_임고근_002,,,,"[4, 1, 4, 2, 2]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
98,수학2_함수의 극한과 연속_임고근_001,,,,"[4, 3, 2, 2, 7]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
99,수학2_함수의 극한과 연속_임고근_002,,,,"[3, 2, 3, 2, 3]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
100,수학2_함수의 극한과 연속_임고근_003,,,,"[4, 2, 6, 2, 4]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
101,수학2_함수의 극한과 연속_임고근_004,,,,"[4, 5, 20, 4, 2]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
102,수학2_함수의 극한과 연속_임고근_005,,,,"[1, 2, 1, 2, 4]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
105,수학1_삼각함수와 그래프_임고근_001,,,,"[1, 2, 235, 3, 1]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
106,수학1_삼각함수와 그래프_임고근_002,,,,"[4, 2, 5, 4, 2]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/18,0,
110,고등선행_중3-1_김현영_001,,,,"['4', '2', '1', '1,4', '5']","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/22,0,
111,고등선행_중3-1_김현영_002,,,,"[3, 2, 5, 2, 3]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/22,0,
112,고등선행_중3-1_김현영_003,,,,"[-1, 5, 3, 1, 2]","[20, 20, 20, 20, 20]","[60, 60, 60, 60, 60]",300.0,2023/03/22,0,
160,현일고1_2023-1학기-중간고사대비(1)_001,,,,"[4, 1, 1, 4, 2, 17, 4, 3]","[2, 5, 5, 5, 18, 18, 18, 29]","[30, 60, 60, 60, 180, 180, 180, 300]",1050.0,2023/03/28,0,
161,현일고1_2023-1학기-중간고사대비(1)_002,,,,"[4, 1, 5, 2, 1, 5, 1, 7]","[2, 5, 5, 5, 18, 18, 18, 29]","[30, 60, 60, 60, 180, 180, 180, 300]",1050.0,2023/03/28,0,
162,현일고1_2023-1학기-중간고사대비(1)_003,,,,"[5, 2, 1, 48, 5, -30, 2, 5]","[2, 5, 5, 5, 18, 18, 18, 29]","[30, 60, 60, 60, 180, 180, 180, 300]",1050.0,2023/03/28,0,
165,구미여고2_수학2_2023-1학기-중간고사대비(1)_001,,,,"[1, 1, 2, 21, 24, 5, 2, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/28,0,
166,구미여고2_수학2_2023-1학기-중간고사대비(1)_002,,,,"[-4, 2, 2, 2, 5, 3, 3, -4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/28,0,
167,구미여고2_수학2_2023-1학기-중간고사대비(1)_003,,,,"[1, 1, 4, 4, 2, 4, 3, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/28,0,
168,구미여고2_수학2_2023-1학기-중간고사대비(1)_004,,,,"[5, 10, 4, 3, 2, 4, 4, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/28,0,
169,구미여고2_수학2_2023-1학기-중간고사대비(1)_005,,,,"[-1, 1, 4, 3, 2, 4, 5, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/28,0,
180,구미고2_수학2_2023년_1학기_중간고사대비_001,,,,"[6, 4, 5, 2, 4, 2, 1, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
181,구미고2_수학2_2023년_1학기_중간고사대비_002,,,,"[15, 2, 2, 5, 3, 2, 17, 11]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
182,구미고2_수학2_2023년_1학기_중간고사대비_003,,,,"[-1, 3, 4, 1, 7, 2, 3, 2]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
183,구미고2_수학2_2023년_1학기_중간고사대비_004,,,,"[3, 5, 3, 3, 5, 5, 3, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
184,구미고2_수학2_2023년_1학기_중간고사대비_005,,,,"[3, 2, 4, 5, 5, 4, 3, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
185,구미중3_2023-1학기-중간고사대비(1)_005,,,,"[3, 20, 2, 5, 5, 5, 5, 16]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
186,구미중3_2023-1학기-중간고사대비(1)_004,,,,"[5, 4, 8, 3, 9, 4, 3, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
187,구미중3_2023-1학기-중간고사대비(1)_003,,,,"['5', '3,4', '2', '-3', '4', '1,4', '5', '3']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
188,구미중3_2023-1학기-중간고사대비(1)_002,,,,"['3', '4', '2', '2', '1', '2', '2,5', '3']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
189,구미중3_2023-1학기-중간고사대비(1)_001,,,,"[3, 15, 23, 4, 3, 4, 1, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
190,구미여고2_수학2_2023년_1학기_중간고사대비(2)_001,,,,"[2, 4, 3, 3, 3, 3, 3, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
191,구미여고2_수학2_2023년_1학기_중간고사대비(2)_002,,,,"[2, 3, 3, 5, 2, 5, 7, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
192,구미여고2_수학2_2023년_1학기_중간고사대비(2)_003,,,,"[1, 4, 2, 1, 4, 1, 3, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
193,구미여고2_수학2_2023년_1학기_중간고사대비(2)_004,,,,"[2, -1, 1, 2, 2, 5, 3, 2]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
